screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,special symbols,index,pay table symbol,wild,multiplier,scatter,value,bonus,trigger,special trigger,blank,mutator,jackpot symbol,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,weights rp3,weights rp4,weights rp5,weights rp6,weights rp7,weights rp8,weights rp9,weights rp10,,mystery,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,,reels 1 weighted,,reels 1,reels 1,reels 1,reels 1,reels 1,weights,weights,weights,weights,weights,,game
38888,,ways,,WD,,WD,1,,BN,,SC1,100,,RP1,,TR,0,FALSE,FALSE,4,FALSE,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,WD,0,0,0,0,0,,SC1,42,42,42,42,80,80,80,32,32,32,,1,,FALSE,,F9,M2,M3,F5,M2,1,1,1,1,1,,TRUE,,BL,M2,BL,BL,BL,1,0,1,1,1,,gots000
,,,,M1,,,,,,,SC2,200,,RP2,,,,,,,,,,,,,,,,M1,0,0,50,100,300,,SC2,40,40,40,40,80,80,80,32,32,32,,6,,,,F7,M4,M4,M3,F8,,,,,,,,,,M4,,,,,0,,,,,do not remove this last column
,,,,M2,,,,,,,SC3,300,,RP3,,,,,,,,,,,,,,,,M2,0,0,25,50,200,,SC3,8,8,8,8,10,10,10,8,8,8,,,,,,M1,M4,RP1,F5,M3,,,,,,,,,,M4,,,,,0,,,,,
,,,,M3,,,,,,,SC4,400,,RP4,,,,,,,,,,,,,,,,M3,0,0,25,50,150,,SC4,2,2,2,2,5,5,5,2,2,2,,,,,,F8,F9,RP2,F8,F9,,,,,,,,,,F9,,,,,0,,,,,
,,,,M4,,,,,,,SC5,500,,RP5,,,,,,,,,,,,,,,,M4,0,0,25,50,100,,SC5,1,1,1,1,4,4,4,1,1,1,,,,,,M4,M3,F5,F7,F9,,,,,,,,,,M3,,,,,0,,,,,
,,,,F5,,,,,,,SC8,800,,RP6,,,,,,,,,,,,,,,,M5,0,0,10,25,50,,SC8,0,0,0,0,3,3,3,1,1,1,,,,,,M4,F6,F5,F6,F5,,,,,,,,,,F6,,,,,0,,,,,
,,,,F6,,,,,,,SC10,1000,,RP7,,,,,,,,,,,,,,,,F6,0,0,10,25,50,,SC10,0,0,0,0,2,2,2,1,1,1,,,,,,F5,RP2,F6,M2,F8,,,,,,,,,,RP2,,,,,1,,,,,
,,,,F7,,,,,,,SC25,2500,,RP8,,,,,,,,,,,,,,,,F7,0,0,10,25,50,,SC25,0,0,0,0,1,1,1,1,1,1,,,,,,F8,RP1,M2,M2,M2,,,,,,,,,,RP1,,,,,1,,,,,
,,,,F8,,,,,,,,,,RP9,,,,,,,,,,,,,,,,F8,0,0,10,25,50,,,,,,,,,,,,,,,,,,F9,F5,M3,M3,F5,,,,,,,,,,F5,,,,,1,,,,,
,,,,F9,,,,,,,,,,RP10,,,,,,,,,,,,,,,,F9,0,0,10,25,50,,,,,,,,,,,,,,,,,,TR,F7,M3,F6,WD,,,,,,,,,,F7,,,,,1,,,,,
